stop_name,stop_lat,stop_lon,line
Nanaimo Station @ Platform 1,49.248334,-123.055868,Expo Line
Surrey Central Station @ Platform 1,49.189561,-122.847796,Expo Line
Gateway Station @ Platform 1,49.198955,-122.850542,Expo Line
Scott Road Station @ Platform 1,49.204448,-122.874185,Expo Line
Columbia Station @ Platform 1,49.204859,-122.906187,Expo Line
New Westminster Station @ Platform 1,49.201459,-122.912629,Expo Line
22nd Street Station @ Platform 1,49.200083,-122.948971,Expo Line
King George Station @ Platform 1,49.182812,-122.844691,Expo Line
Production Way-University Station @ Platform 2,49.253364,-122.918218,Expo Line
Lougheed Town Centre Station @ Platform 1,49.248484,-122.896952,Expo Line
Braid Station @ Platform 1,49.233236,-122.882831,Expo Line
Sapperton Station @ Platform 1,49.2247,-122.889424,Expo Line
Waterfront Station Northbound,49.286063,-123.111306,SeaBus
Lonsdale Quay Northbound,49.310116,-123.08323,SeaBus
Lonsdale Quay Southbound,49.310161,-123.083358,SeaBus
Waterfront Station Southbound,49.286137,-123.111403,SeaBus
Newton Exchange @ Bay 3,49.133297,-122.842298,R1 King George Blvd
Eastbound 104 Ave @ 144 St,49.191438,-122.822383,R1 King George Blvd
Eastbound 104 Ave @ 148 St,49.191406,-122.81188,R1 King George Blvd
Guildford Exchange @ Bay 3,49.191357,-122.804448,R1 King George Blvd
Northbound King George Blvd @ 76 Ave,49.14148,-122.845465,R1 King George Blvd
Northbound King George Blvd @ 80 Ave,49.147573,-122.845487,R1 King George Blvd
Northbound King George Blvd @ 88 Ave,49.163422,-122.845609,R1 King George Blvd
Northbound King George Blvd @ 96 Ave,49.177621,-122.845422,R1 King George Blvd
King George Station @ Bay 4,49.182677,-122.845166,R1 King George Blvd
Surrey Central Station @ Bay 13,49.189684,-122.847558,R1 King George Blvd
Eastbound 104 Ave @ Whalley Blvd,49.191475,-122.84108,R1 King George Blvd
Eastbound 104 Ave @ 140 St,49.191383,-122.833623,R1 King George Blvd
Guildford @ Layover,49.194098,-122.805781,R1 King George Blvd
Southbound King George Blvd @ 88 Ave,49.161766,-122.84599,R1 King George Blvd
Southbound King George Blvd @ 80 Ave,49.147239,-122.845901,R1 King George Blvd
Southbound King George Blvd @ 76 Ave,49.140079,-122.845817,R1 King George Blvd
Newton Exchange @ Bay 5,49.133426,-122.842328,R1 King George Blvd
Guildford Exchange @ Bay 2,49.191632,-122.804013,R1 King George Blvd
Westbound 104 Ave @ 148 St,49.191583,-122.813065,R1 King George Blvd
Westbound 104 Ave @ 144 St,49.191605,-122.824345,R1 King George Blvd
Westbound 104 Ave @ 140 St,49.191566,-122.834607,R1 King George Blvd
Westbound 104 Ave @ Whalley Blvd,49.191674,-122.842718,R1 King George Blvd
Surrey Central Station @ Bay 11,49.189406,-122.847763,R1 King George Blvd
King George Station @ Bay 1,49.182376,-122.845722,R1 King George Blvd
Southbound King George Blvd @ 96 Ave,49.176019,-122.846016,R1 King George Blvd
Park Royal @ Bay 5,49.326849,-123.13825,R2 Marine Dr
Phibbs Exchange @ Bay 5,49.305369,-123.029619,R2 Marine Dr
Eastbound Marine Dr @ Capilano Rd,49.323943,-123.121834,R2 Marine Dr
Eastbound Marine Dr @ Pemberton Ave,49.323766,-123.106585,R2 Marine Dr
Eastbound Marine Dr @ Hamilton Ave,49.322589,-123.099039,R2 Marine Dr
Eastbound W 3rd St @ Bewicke Ave,49.320065,-123.091862,R2 Marine Dr
Lonsdale Quay @ Bay 7,49.310903,-123.082739,R2 Marine Dr
Eastbound E 3rd St @ Lonsdale Ave,49.313157,-123.076579,R2 Marine Dr
Eastbound E 3rd St @ Ridgeway Ave,49.308441,-123.062174,R2 Marine Dr
Eastbound Cotton Rd @ Brooksbank Ave,49.307195,-123.040888,R2 Marine Dr
Phibbs Exchange @ Bay 6,49.305155,-123.029543,R2 Marine Dr
Park Royal @ Bay 1,49.327137,-123.138513,R2 Marine Dr
Eastbound Marine Dr @ South Mall Access,49.326699,-123.141262,R2 Marine Dr
Westbound Cotton Rd @ Brooksbank Ave,49.30749,-123.04116,R2 Marine Dr
Westbound E 3rd St @ Ridgeway Ave,49.308596,-123.063835,R2 Marine Dr
Southbound Lonsdale Ave @ W 3rd St,49.312929,-123.077751,R2 Marine Dr
Lonsdale Quay @ Bay 3,49.310917,-123.08258,R2 Marine Dr
Westbound Marine Dr @ Bewicke Ave,49.32061,-123.092706,R2 Marine Dr
Westbound Marine Dr @ Hamilton Ave,49.323076,-123.0996,R2 Marine Dr
Westbound Marine Dr @ Pemberton Ave,49.323956,-123.108455,R2 Marine Dr
Westbound Marine Dr @ Capilano Rd,49.324309,-123.121976,R2 Marine Dr
Coquitlam Central Station @ Bay 7,49.274922,-122.799039,R3 Lougheed Hwy
Eastbound Lougheed Hwy @ Westwood St,49.274107,-122.792389,R3 Lougheed Hwy
Eastbound Lougheed Hwy @ Shaughnessy St,49.266862,-122.775365,R3 Lougheed Hwy
Eastbound Lougheed Hwy @ Ottawa St,49.255522,-122.748207,R3 Lougheed Hwy
Eastbound Lougheed Hwy @ Harris Rd,49.230392,-122.688114,R3 Lougheed Hwy
Eastbound Lougheed Hwy @ 203 St,49.218858,-122.655981,R3 Lougheed Hwy
Eastbound Lougheed Hwy @ Laity St,49.216989,-122.630123,R3 Lougheed Hwy
Haney Place @ Bay 1,49.219454,-122.597616,R3 Lougheed Hwy
Haney Place @ Bay 8,49.219502,-122.597301,R3 Lougheed Hwy
Westbound Lougheed Hwy @ Laity St,49.217259,-122.633119,R3 Lougheed Hwy
Westbound Lougheed Hwy @ 203 St,49.219587,-122.658729,R3 Lougheed Hwy
Westbound Lougheed Hwy @ Harris Rd,49.231687,-122.690461,R3 Lougheed Hwy
Westbound Lougheed Hwy @ Ottawa St,49.256074,-122.748653,R3 Lougheed Hwy
Westbound Lougheed Hwy @ Shaughnessy St,49.267205,-122.775406,R3 Lougheed Hwy
Westbound Lougheed Hwy @ Westwood St,49.274252,-122.791893,R3 Lougheed Hwy
Coquitlam Central Station @ Bay 10,49.275476,-122.798723,R3 Lougheed Hwy
UBC Exchange @ Bay 4,49.26704,-123.247902,R4 41st Ave
Eastbound E 41 Ave @ Main St,49.232967,-123.101913,R4 41st Ave
Eastbound E 41 Ave @ Fraser St,49.232781,-123.090946,R4 41st Ave
Eastbound E 41 Ave @ Knight St,49.232598,-123.076419,R4 41st Ave
Eastbound E 41 Ave @ Victoria Dr,49.232713,-123.06505,R4 41st Ave
Eastbound E 41 Ave @ Clarendon St,49.232754,-123.054813,R4 41st Ave
Eastbound E 41 Ave @ Rupert St,49.23288,-123.042556,R4 41st Ave
Northbound Joyce St @ Kingsway,49.234391,-123.03552,R4 41st Ave
Joyce Station @ Bay 1 Unload Only,49.238592,-123.032425,R4 41st Ave
Southbound Wesbrook Mall @ Agronomy Rd,49.26369,-123.243491,R4 41st Ave
Westbound W 16 Ave @ Wesbrook Mall,49.254822,-123.239452,R4 41st Ave
Dunbar Loop @ Bay 7,49.234694,-123.184268,R4 41st Ave
Eastbound W 41 Ave @ Carnarvon St,49.234677,-123.172505,R4 41st Ave
Eastbound W 41 Ave @ East Blvd,49.234484,-123.154358,R4 41st Ave
Eastbound W 41 Ave @ Granville St,49.23422,-123.138484,R4 41st Ave
Eastbound W 41 Ave @ Oak St,49.2338,-123.126888,R4 41st Ave
Oakridge-41st Ave Station @ Bay 3,49.233373,-123.114517,R4 41st Ave
Joyce Station @ Bay 4,49.237907,-123.031047,R4 41st Ave
Westbound W 41 Ave @ Oak St,49.234081,-123.128633,R4 41st Ave
Westbound W 41 Ave @ Granville St,49.234426,-123.140514,R4 41st Ave
Westbound W 41 Ave @ East Blvd,49.234672,-123.15479,R4 41st Ave
Westbound W 41 Ave @ Carnarvon St,49.23482,-123.173542,R4 41st Ave
Dunbar Loop @ Bay 5,49.234831,-123.185966,R4 41st Ave
Eastbound W 16 Ave @ Wesbrook Mall,49.255111,-123.23773,R4 41st Ave
Northbound Wesbrook Mall @ Agronomy Rd,49.262728,-123.242289,R4 41st Ave
UBC Exchange @ Unloading Only,49.267674,-123.247621,R4 41st Ave
Southbound Joyce St @ Kingsway,49.233838,-123.036343,R4 41st Ave
Westbound E 41 Ave @ Rupert St,49.233057,-123.043713,R4 41st Ave
Westbound E 41 Ave @ Clarendon St,49.232902,-123.055955,R4 41st Ave
Westbound E 41 Ave @ Victoria Dr,49.232792,-123.066082,R4 41st Ave
Westbound E 41 Ave @ Knight St,49.232845,-123.077938,R4 41st Ave
Westbound E 41 Ave @ Fraser St,49.233019,-123.091171,R4 41st Ave
Westbound E 41 Ave @ Main St,49.233207,-123.102082,R4 41st Ave
Oakridge-41st Ave Station  @ Bay 4,49.233712,-123.117599,R4 41st Ave
Burrard Station @ Bay 6,49.28616,-123.118293,R5 Hastings St
Eastbound Hastings St @ Willingdon Ave,49.280927,-123.005171,R5 Hastings St
Eastbound Hastings St @ Hythe Ave,49.280184,-122.989776,R5 Hastings St
